TransactionID,SaleDate,Customer_Name,Category,Amount,Branch_Location,Payment_Type
TXN-1000,2025-05-19,"Grace Okon",Drinks,20210.29,Lagos,POS
TXN-1001,2025-07-19,"Olawale R.",Household,55509.77,Lagos,POS
TXN-1002,2025-05-25,"Bolanle Balogun",Toiletries,28250.93,Lagos,POS
TXN-1003,2025-07-17,"Chinedu Okoro",Snacks,46176.60,Lagos,Transfer
TXN-1004,2025-10-29,"Unknown Customer",Household,6046.00,Ibadan,POS
TXN-1005,2025-10-25,"Unknown Customer",Grains,17611.74,Lagos,POS
TXN-1006,2025-09-13,"Olawale R.",Grains,58067.14,Lagos,Cash
TXN-1008,2025-06-19,"Yusuf Ali",Beverages,57496.46,Lagos,Cash
TXN-1009,2025-09-08,"Yusuf Ali",Household,69822.56,Lagos,Cash
TXN-1010,2026-02-02,"Chioma Obi",Household,63064.98,Abuja,Transfer
TXN-1011,2025-11-02,"Ngozi Eze",Household,52649.57,Abuja,POS
TXN-1012,2025-05-07,"Chinedu Okoro","Oil & spices",32347.07,Lagos,Cash
TXN-1015,2025-09-19,"Chioma Obi",Beverages,3783.36,Lagos,Cash
TXN-1016,2026-02-13,"Olawale R.",Toiletries,55558.76,Lagos,Cash
TXN-1017,2025-07-15,"Ibrahim Danko","Oil & spices",8690.31,Ibadan,POS
TXN-1018,2025-12-31,"Grace Okon",Oil,37198.89,Abuja,POS
TXN-1019,2026-01-05,"Grace Okon",Drinks,58160.56,Lagos,Transfer
TXN-1020,2026-01-05,"grace okon",Drinks,58160.56,Lagos,Transfer
TXN-1021,2025-06-13,"Ibrahim Danko",Drinks,63523.96,Lagos,POS
TXN-1022,NULL,"Tunde Afolayan",Toiletries,60592.21,Abuja,Transfer
TXN-1023,2025-01-17,"Yusuf Ali","Oil & spices",27168.91,Abuja,Transfer
TXN-1024,2025-12-09,"Tunde Afolayan",Snacks,50181.16,Lagos,Cash
TXN-1025,2025-03-23,"Chinedu Okoro",Oil,16457.90,Abuja,Cash
TXN-1026,2025-03-23,"chinedu okoro",Oil,16457.90,Abuja,Cash
TXN-1027,2026-02-11,"Fatima Y.",Snacks,22092.88,Abuja,Cash
TXN-1028,2025-03-05,"Amina Musa",Toiletries,31730.64,Lagos,Cash
TXN-1029,2025-05-05,"Ibrahim Danko",Snacks,4953.35,Lagos,Cash
TXN-1030,2025-02-24,"Chioma Obi","Oil & spices",64008.92,Abuja,Transfer
TXN-1031,2025-10-05,"Chinedu Okoro","Baby care",24315.05,Abuja,Cash
TXN-1032,2025-07-18,"Olawale R.",Grains,17501.61,Lagos,Transfer
TXN-1033,2025-10-11,"Bolanle Balogun",Household,21656.37,Lagos,POS
TXN-1034,2025-10-01,"Bolanle Balogun",Household,41782.08,Lagos,POS
TXN-1036,2025-01-11,"Grace Okon",Household,18307.40,Abuja,POS
TXN-1037,2025-07-25,"Chinedu Okoro","Baby care",65134.71,Abuja,Cash
TXN-1038,2026-01-26,"Bolanle Balogun",Grains,44918.80,Lagos,Cash
TXN-1039,2026-01-03,"Ibrahim Danko",Snacks,15106.52,Lagos,Transfer
TXN-1040,2026-01-17,"Chioma Obi","Oil & spices",23015.64,Lagos,Transfer
TXN-1041,2025-01-05,"Chinedu Okoro",Snacks,36418.12,Lagos,Transfer
TXN-1042,2025-08-15,"Bolanle Balogun",Snacks,10479.87,Lagos,Cash
TXN-1043,2025-08-19,"Ibrahim Danko","Baby care",15276.04,Lagos,Cash
TXN-1044,2025-09-23,"Olawale R.",Grains,68046.80,Lagos,Transfer
TXN-1045,2025-04-22,"Yusuf Ali",Oil,64201.04,Lagos,Cash
TXN-1046,2025-02-01,"Unknown Customer","Oil & spices",31179.71,Lagos,POS
TXN-1047,2025-04-23,"Ibrahim Danko",Drinks,47983.80,Abuja,POS
TXN-1048,2026-01-27,"Tunde Afolayan","Baby care",16235.73,Lagos,POS
TXN-1049,2025-08-17,"Olawale R.",Grains,17727.07,Lagos,Cash
TXN-1050,2026-02-03,"Amina Musa",Household,15241.01,Abuja,POS
TXN-1051,2025-04-23,"Fatima Y.",Oil,35019.23,Lagos,Cash
TXN-1052,2025-10-19,"Olawale R.",Toiletries,44788.49,Lagos,Transfer
TXN-1053,2025-07-18,"Bolanle Balogun",Toiletries,18452.00,Kano,Transfer
TXN-1054,NULL,"Ibrahim Danko",Oil,3109.78,Abuja,Transfer
TXN-1055,2025-11-27,"Ngozi Eze",Toiletries,62427.04,Lagos,POS
TXN-1056,2025-06-04,"Yusuf Ali","Oil & spices",21552.71,Lagos,POS
TXN-1057,2026-01-22,"Yusuf Ali",Grains,27931.77,Lagos,POS
TXN-1058,2025-04-21,"Grace Okon",Toiletries,31465.94,Lagos,Transfer
TXN-1059,2025-12-22,"Fatima Y.",Grains,42698.47,Lagos,POS
TXN-1060,2025-06-14,"Olawale R.",Drinks,22451.53,Abuja,POS
TXN-1061,2025-06-14,"olawale r.",Drinks,22451.53,Abuja,POS
TXN-1062,2026-01-18,"Ibrahim Danko",Household,6003.07,Lagos,Cash
TXN-1063,2026-01-18,"Ibrahim Danko",Household,6003.07,Lagos,Cash
TXN-1064,2026-03-01,"Yusuf Ali",Toiletries,53593.11,Lagos,Transfer
TXN-1065,2025-05-25,"Yusuf Ali",Beverages,31696.21,Lagos,Transfer
TXN-1066,2025-03-25,"Ngozi Eze",Grains,52020.85,Abuja,Cash
TXN-1067,2025-11-02,"Ibrahim Danko",Snacks,34132.48,Ibadan,Cash
TXN-1068,2025-09-09,"Chioma Obi",Household,31803.58,Ibadan,POS
TXN-1069,2025-12-26,"Yusuf Ali",Toiletries,18171.34,Lagos,Transfer
TXN-1070,2025-12-26,"yusuf ali",Toiletries,18171.34,Lagos,Transfer
TXN-1071,2025-05-17,"Grace Okon","Baby care",26853.24,Lagos,Transfer
TXN-1072,2026-03-18,"Grace Okon","Baby care",65069.76,Lagos,Cash
TXN-1073,2026-02-02,"Chioma Obi",Oil,61383.50,Ibadan,Transfer
TXN-1074,2025-07-24,"Ngozi Eze",Household,65417.43,Lagos,Transfer
TXN-1075,2025-03-08,"Olawale R.","Baby care",12999.09,Lagos,Transfer
TXN-1076,2025-03-08,"olawale r.","Baby care",12999.09,Lagos,Transfer
TXN-1077,2025-03-17,"Fatima Y.",Household,46341.33,Ibadan,Transfer
TXN-1078,2025-10-28,"Chioma Obi",Snacks,22511.17,Lagos,POS
TXN-1079,NULL,"Ngozi Eze",Household,66897.42,Kano,Cash
TXN-1080,2025-01-21,"Fatima Y.",Toiletries,6928.48,Lagos,Cash
TXN-1081,2025-05-15,"Chioma Obi",Beverages,14067.89,Lagos,Cash
TXN-1082,2025-05-15,"chioma obi",Beverages,14067.89,Lagos,Cash
TXN-1083,2025-05-15,"chioma obi",Beverages,14067.89,Lagos,Cash
TXN-1084,2025-09-13,"Tunde Afolayan",Oil,35944.61,Lagos,Cash
TXN-1085,2026-02-17,"Unknown Customer",Beverages,57537.62,Lagos,Cash
TXN-1086,2025-06-19,"Amina Musa",Household,28410.16,Lagos,POS
TXN-1087,2026-01-05,"Tunde Afolayan",Toiletries,43821.69,Lagos,Transfer
TXN-1088,NULL,"Chinedu Okoro",Oil,2718.20,Abuja,POS
TXN-1090,NULL,"Chinedu Okoro",Household,39524.51,Abuja,Cash
TXN-1091,NULL,"Chinedu Okoro",Household,39524.51,Abuja,Cash
TXN-1092,2025-02-07,"Yusuf Ali",Beverages,13941.36,Lagos,Transfer
TXN-1093,2025-05-08,"Chinedu Okoro",Grains,50885.22,Lagos,POS
TXN-1094,2026-02-12,"Bolanle Balogun","Oil & spices",34206.63,Lagos,Transfer
TXN-1095,2026-02-15,"Unknown Customer","Baby care",8732.52,Lagos,Transfer
TXN-1096,2026-01-25,"Yusuf Ali",Household,18622.77,Lagos,Cash
TXN-1097,2025-12-01,"Grace Okon",Household,62516.54,Abuja,Cash
TXN-1098,2025-12-03,"Chioma Obi","Oil & spices",45038.71,Lagos,Cash
TXN-1099,2025-11-04,"Yusuf Ali",Oil,29142.57,Lagos,Transfer
TXN-1100,2025-08-27,"Emeka J.",Grains,7874.19,Ibadan,Transfer
TXN-1101,2025-04-04,"Ngozi Eze",Beverages,34767.26,Abuja,Transfer
TXN-1102,2025-08-17,"Bolanle Balogun",Household,3837.29,Abuja,Transfer
TXN-1103,2025-01-28,"Olawale R.",Snacks,36944.14,Ibadan,POS
TXN-1104,2025-01-08,"Yusuf Ali",Snacks,59539.90,Lagos,POS
